UserID,ps,ngo,UserID,po,ngs,ActiveInterests,Travelling
367453470113716,7.0,0.0,367453470113716,87.0,1.0,Travelling,1.0
389886167863963,12.0,0.0,389886167863963,130.0,0.0,Travelling,1.0
396926547138253,57.0,19.0,396926547138253,183.0,7.0,Travelling,1.0
401129306716030,9.0,2.0,401129306716030,86.0,0.0,Travelling,1.0
402005356659212,13.0,1.0,402005356659212,138.0,0.0,Travelling,1.0
422319851305506,8.0,0.0,422319851305506,148.0,0.0,Travelling,1.0
425853154224281,96.0,30.0,425853154224281,198.0,12.0,Travelling,1.0
427004197473574,2.0,2.0,427004197473574,287.0,0.0,Travelling,1.0
461596007276425,32.0,0.0,461596007276425,144.0,3.0,Travelling,1.0
489438357853714,8.0,1.0,489438357853714,258.0,0.0,Travelling,1.0
495918743882671,27.0,6.0,495918743882671,46.0,2.0,Travelling,1.0
504099099695917,3.0,1.0,504099099695917,33.0,0.0,Travelling,1.0
515870275184337,12.0,0.0,515870275184337,207.0,0.0,Travelling,1.0
521675234601876,17.0,0.0,521675234601876,31.0,0.0,Travelling,1.0
547325705378567,12.0,1.0,547325705378567,190.0,4.0,Travelling,1.0
572170726249289,124.0,0.0,572170726249289,191.0,0.0,Travelling,1.0
579139158887929,2.0,0.0,579139158887929,47.0,0.0,Travelling,1.0
579389102201406,2.0,11.0,579389102201406,31.0,0.0,Travelling,1.0
588957434558501,28.0,0.0,588957434558501,42.0,1.0,Travelling,1.0
602103109890858,5.0,2.0,602103109890858,57.0,2.0,Travelling,1.0
623936407675864,25.0,8.0,623936407675864,250.0,1.0,Travelling,1.0
632117763548622,21.0,11.0,632117763548622,286.0,0.0,Travelling,1.0
637974839605091,23.0,0.0,637974839605091,128.0,1.0,Travelling,1.0
649687945081042,7.0,0.0,649687945081042,266.0,0.0,Travelling,1.0
664272507040558,4.0,1.0,664272507040558,76.0,0.0,Travelling,1.0
665342343503737,54.0,8.0,665342343503737,209.0,9.0,Travelling,1.0
683028811793477,43.0,0.0,683028811793477,209.0,0.0,Travelling,1.0
693592784040209,59.0,3.0,693592784040209,274.0,2.0,Travelling,1.0
698693336897976,19.0,3.0,698693336897976,221.0,3.0,Travelling,1.0
703390979714019,63.0,2.0,703390979714019,210.0,10.0,Travelling,1.0
703953336334302,66.0,0.0,703953336334302,231.0,0.0,Travelling,1.0
711878785517935,1.0,2.0,711878785517935,85.0,0.0,Travelling,1.0
722797294470238,25.0,1.0,722797294470238,290.0,4.0,Travelling,1.0
725452320847339,5.0,0.0,725452320847339,335.0,0.0,Travelling,1.0
730994946976103,28.0,5.0,730994946976103,94.0,4.0,Travelling,1.0
737557792958767,11.0,1.0,737557792958767,38.0,1.0,Travelling,1.0
739406459485746,6.0,1.0,739406459485746,66.0,0.0,Travelling,1.0
741568159293420,5.0,1.0,741568159293420,34.0,0.0,Travelling,1.0
743741262371373,22.0,3.0,743741262371373,100.0,0.0,Travelling,1.0
744860512213229,72.0,4.0,744860512213229,183.0,1.0,Travelling,1.0
747068275348039,19.0,0.0,747068275348039,38.0,0.0,Travelling,1.0
750032835075209,18.0,2.0,750032835075209,107.0,1.0,Travelling,1.0
752583401545064,23.0,6.0,752583401545064,110.0,2.0,Travelling,1.0
754864594546538,5.0,1.0,754864594546538,32.0,0.0,Travelling,1.0
759194020788087,7.0,2.0,759194020788087,33.0,1.0,Travelling,1.0
759494184103014,16.0,5.0,759494184103014,238.0,3.0,Travelling,1.0
763494596994401,4.0,1.0,763494596994401,114.0,2.0,Travelling,1.0
766941839996882,11.0,2.0,766941839996882,8.0,1.0,Travelling,1.0
783366295020642,5.0,2.0,783366295020642,132.0,0.0,Travelling,1.0
790931740942619,62.0,9.0,790931740942619,242.0,7.0,Travelling,1.0
791561417568888,0.0,0.0,791561417568888,106.0,0.0,Travelling,1.0
798262653534884,74.0,7.0,798262653534884,116.0,2.0,Travelling,1.0
803705956334437,6.0,0.0,803705956334437,149.0,3.0,Travelling,1.0
806416002751609,82.0,7.0,806416002751609,213.0,5.0,Travelling,1.0
814406378572380,18.0,0.0,814406378572380,323.0,2.0,Travelling,1.0
816382621759850,8.0,1.0,816382621759850,34.0,0.0,Travelling,1.0
825589254228022,18.0,0.0,825589254228022,101.0,0.0,Travelling,1.0
828823150542333,54.0,11.0,828823150542333,257.0,4.0,Travelling,1.0
836376636382040,7.0,0.0,836376636382040,66.0,0.0,Travelling,1.0
844142922262721,51.0,22.0,844142922262721,152.0,6.0,Travelling,1.0
844433808941664,18.0,7.0,844433808941664,80.0,3.0,Travelling,1.0
846914835328450,12.0,0.0,846914835328450,59.0,1.0,Travelling,1.0
850788454942482,33.0,3.0,850788454942482,168.0,2.0,Travelling,1.0
858846847511740,3.0,1.0,858846847511740,210.0,0.0,Travelling,1.0
859761970768482,6.0,1.0,859761970768482,51.0,2.0,Travelling,1.0
864040803629580,64.0,5.0,864040803629580,90.0,5.0,Travelling,1.0
865561406790834,57.0,1.0,865561406790834,126.0,1.0,Travelling,1.0
865780060118899,0.0,0.0,865780060118899,345.0,0.0,Travelling,1.0
869648306428693,57.0,4.0,869648306428693,164.0,5.0,Travelling,1.0
872574619425353,14.0,4.0,872574619425353,241.0,1.0,Travelling,1.0
877240508956488,6.0,2.0,877240508956488,44.0,0.0,Travelling,1.0
882164318474114,12.0,2.0,882164318474114,275.0,2.0,Travelling,1.0
883609888330291,6.0,1.0,883609888330291,8.0,0.0,Travelling,1.0
